Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Persuasive Coaching,"Coaching is quickly replacing the performance review in most forward-thinking companies. Persuasive coaching teaches you how to incorporate basic psychological concepts throughout the coaching process to ensure a better, more effective coaching relationship. In this course you can learn core coaching skills, review the coaching process, and understand the psychology of persuasion. Instructor Brian Ahern provides tips to build relationships, enhance trust with your employees, and use feedback and accountability measure to enforce positive behavior changes. Case studies peppered throughout the course show you how to apply those skills in the coaching process.",Course,2022-10-21 19:39 UTC,N/A,false,N/A,
Complete Guide to Parallel and Concurrent Programming in Python,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously, increases the overall processing throughput, and is key to writing faster and more efficient applications. In this course, join instructors Barron and Olivia Chiu Stone as they introduce the basics of parallel programming in Python, providing the foundational knowledge you need to write more efficient, performant code. Barron and Olivia explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using Python. Each lesson is short and practical, driving home the theory with hands-on techniques.",Course,2025-11-17 02:57 UTC,N/A,false,N/A,
Uncertain: The Wisdom and Wonder of Being Unsure,"<p>Most people often feel embarrassed about uncertainties or blind spots in their knowledge. But Maggie Jackson—a journalist who covers social trends, with a particular focus on technology’s impact on humanity—argues that, properly understood, our ignorance can be the secret to enhanced performance and groundbreaking ideas. In this audiobook summary, Maggie shares five big ideas from her book, <i>Uncertain: The Wisdom and Wonder of Being Unsure</i>.
 </p><p>
 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-15 17:41 UTC,N/A,false,N/A,
Recruiting Techniques to Reveal Transferable Skills,"When filling opening job requisitions, do you often feel constricted by searching a pool of candidates filtered by job title or by specific industries? Imagine how satisfying it would be to have access to a larger pool of talent, one that might not be on the radar of your competitors. In this course, Barbara Bruno shows you how to identify top candidates based on the skills they have that will transfer to the jobs you need to fill, regardless of their previous titles or professional experience. Barbara explains how to identify transferable skills, revise your job requisition, and how to modify your interviewing and hiring processes. By focusing on transferable skills, you can provide your company with a tremendous competitive advantage—one that will fill open requisitions faster, help candidates advance in their career, and improve engagement and retention.",Course,2025-01-25 16:02 UTC,N/A,false,N/A,
"Leadership Tips, Tactics, and Advice","Lead with intention using the leadership tips, tactics, and advice in this audio-only course. Lisa Earle McLeod and Elizabeth Lotardo explain how to develop a leadership mindset, thrive in crucial leadership moments and challenges, and build a winning team. Discover how to master the leadership opportunities you have at every turn: to set direction, build a strong team, and make a lasting impact on your entire organization. By the end of this course, you'll learn how to manage your mindset and behaviors to be a leader others will want to follow.",Course,2022-09-08 17:38 UTC,N/A,true,N/A,
Mitigating Cybersecurity Vulnerabilities,"Cybersecurity teams must be able to identify, mitigate, and manage cybersecurity vulnerabilities. In this course, information security expert Kip Boyle equips you with the practical advice and strategies that you need. Gain an understanding of common vulnerabilities. Find out how to decide whether to fix or mitigate these vulnerabilities, as well as how to prioritize them. Go over ways to overcome roadblocks and manage expectations. Learn how to automate patch management. Plus, explore the best ways to report progress and results to senior decision-makers.",Course,2025-03-10 14:35 UTC,2025-02-04 03:48 UTC,false,N/A,
"Diversity, Inclusion, and Belonging","<p>Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-02-15 15:18 UTC,N/A,false,N/A,
Managing Projects with Microsoft 365,"<p>As a project manager, you likely know the importance of being able to stay on top of every last thing—and what a challenge that can be. However, this course provides you with the skills you need to manage projects more effectively by using Microsoft 365. Instructor Christine Matheney first shares the value that Microsoft Lists can provide, and shows the steps to get started using it. Christine then dives into using Microsoft Planner to help you create your project plan and manage it over time. Next, Christine reviews how you can take your project management a step further using Microsoft Project, including features that allow you to incorporate different project management approaches and methodologies. Finally, Christine reiterates common use cases for each specific project management to ensure you can feel confident in the tools you're using depending on what you're trying to achieve. If you want to organize, plan, and execute projects and track insights with ease, check out this course. </p><p>This course is part of this <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> and this <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-project-management-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-03-10 02:13 UTC,N/A,true,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2026-01-13 01:42 UTC,N/A,false,N/A,
Quantum Cryptography and the Future of Cybersecurity,"The frequency and severity of hacking and other attacks on our information systems are increasing. Despite remarkable progress in cybersecurity innovation, too many vulnerabilities continue to exist, and the threats are increasingly sophisticated. Quantum cryptography may offer some optimism in the long term. By leveraging the fundamentals of quantum mechanics, this set of emerging technologies allows information to be protected in novel new ways. Consequently, it's poised to shake up the world of information security. In this course, Jonathan Reichental lays out what quantum cryptography is, as well as the journey ahead to operationally realize quantum-based encrypted communications.",Course,2025-06-13 11:18 UTC,N/A,false,N/A,
CompTIA Security+ (SY0-701) Cert Prep (2024),"CompTIA Security+ is an entry-level certification that requires a thorough understanding of network and device security, risk mitigation strategies, compliance, and more. This course provides CompTIA Security+ candidates with essential information they need to prepare for the qualifying exam. Cybersecurity expert Mike Chapple first goes over some of the basics of the exam, then covers the six domains for the latest version of the exam, SY0-701. He shares study tips that can help you feel prepared to take and pass the test on your first try. Plus, learn where to find practice tests to get hands-on experience and how to keep your certification current by continuing your studies.",Course,2025-10-17 10:58 UTC,N/A,false,N/A,
