Date/Time,Media Description,Media Link
"You uploaded a feed photo on April 21, 2026 at 2:14 AM (GMT)","I started a new job this week. But before I did, my wife and I took a few days and got out of town.

We read books. Ate at places we?d never been. Walked through small shops without any agenda. I didn?t even bring a laptop. Thought about the new job less than I expected to.

It wasn?t avoidance. It was a deliberate gap between one chapter and the next.

I?ve made the mistake before of rolling straight from one job into the next with no space in between. You show up on day one still carrying the last place. The unfinished frustrations, the habits that were built for a different environment, the version of yourself that was shaped by two years of a specific team and culture.

That stuff doesn?t clear out on its own. You have to give it somewhere to go.

A few days away did that. I came back with a clearer head than I would have had otherwise. Ready to actually pay attention instead of just showing up.

The transition is part of the job. Most of us skip it entirely.

What do you do to reset between big professional changes?",https://media.licdn.com/dms/image/v2/D5622AQHu8KpkGAr_Vw/feedshare-shrink_160/B56Z2t0XLhIkAo-/0/1776737678863?e=1781740800&v=beta&t=pl7bczcM3gEAZTA8-I9KPZAzhfcytJnSFMqMTksnHds
"You uploaded a feed photo on March 10, 2026 at 1:30 AM (GMT)","I spent the afternoon on Saturday volunteering with my family at a charity that we?ve been a part of for the last 24 years. 

ReRUNS R Fun is the nation?s largest non-profit consignment sale for children, teens, and women. Located in LaVista, Nebraska, ReRUNS hosts resale events twice a year. All profits from the sales events are donated to charities in our community and around the world.

Back when we were scrounging in the couch cushions looking for loose change so we could afford groceries, ReRUNS helped us afford to buy clothes and toys for our children. My wife has worked at every sale and has made so many friends there. From an unwilling participant, I now look forward to the time that I get to give back and help those that need things when couch nickles don?t buy what they used to. 

One of our tasks this weekend was to organize all of the board games, which we have been doing for the last several sales. 

How does this relate to my previous posts about networking and business? It doesn?t. Volunteering is just good for the soul.",
"You uploaded a feed photo on March 10, 2026 at 1:29 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFLjpL4es0Wrw/feedshare-shrink_20/B56ZzVXX1OJ8AI-/0/1773106200563?e=1781740800&v=beta&t=YioFBoHXT3FiE_oajnS2dgvQTPzrEoEm6P7kFw7WEWs
"You uploaded a feed photo on March 10, 2026 at 1:29 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHW6JBkjxc-uQ/feedshare-shrink_160/B56ZzVXX8iIYAo-/0/1773106201172?e=1781740800&v=beta&t=UGZg1sqrxTwcyOKVkPzGBIHwqNB6Xm7oMdrwt6cf-7Q
"You uploaded a feed photo on March 10, 2026 at 1:29 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQHyjGwzOHJ7MA/feedshare-shrink_20/B56ZzVXX2pGQAM-/0/1773106200868?e=1781740800&v=beta&t=_3glzC8IE2-SvMxPjLjWnVO50UliOopNdObs49IJTgY
"You uploaded a profile background photo on December 25, 2025 at 3:50 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5604AQHy7D94SpyBig/profile-background-servable-original-image/B56ZtWNADILAAI-/0/1766677808550?e=1781740800&v=beta&t=mX_zBs2O2B9PFWBdvO5OJChdpBLO-W7v_9dq7GnZQSg
"You uploaded a profile background photo on December 25, 2025 at 3:50 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5616AQGRmwak7RrsrQ/profile-displaybackgroundimage-shrink_200_800/B56ZtWNADGJYAU-/0/1766677808528?e=1781740800&v=beta&t=1kag1XpsxwHmC2YR9aU2HUl4ujV9e1xduNZtXzUev88
"You uploaded a profile photo on December 25, 2025 at 3:48 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5604AQH3m16ick45eg/profile-originalphoto-shrink_900_1200/B56ZtWMt3.GsAI-/0/1766677736440?e=1781740800&v=beta&t=daegHELuOdVs6J5QOIpB1EZSTXwbNKaXqxGHEO38qL4
"You uploaded a photo on December 25, 2025 at 3:48 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5603AQEbmTxEsJNikA/profile-displayphoto-scale_200_200/B56ZtWMt3NJoAY-/0/1766677739446?e=1781740800&v=beta&t=W2NN3VwmHTQDwuMVVrBkl7gvpYzaXyWV6qXlKxgyJqo
"You uploaded a article cover photo on October 20, 2025 at 2:08 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5612AQF4139g6ALsEA/article-cover_image-shrink_423_752/B56ZoB84KaJkAU-/0/1760969327621?e=1781740800&v=beta&t=l7pJD7q82-7yaPuCKsZU7xx8bNc2hxHry7QVdwF4iBg
"You uploaded a feed photo on October 12, 2025 at 2:35 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFvgAMmjrHbbg/feedshare-shrink_800/B56ZnWRY9DG0Ag-/0/1760236511070?e=1781740800&v=beta&t=eB2mv2-k61yMk5UTt4wwWp55p-bq-IweUicA6pzyby0
"You uploaded a feed photo on October 3, 2025 at 12:26 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQFtFR-FOGxRrQ/feedshare-shrink_480/B56ZmndojBIsAc-/0/1759451188313?e=1781740800&v=beta&t=75F8N9JG0gP3mxzW0Q5KTqIYDJKaLUta_yrz5vjygUw
"You uploaded a feed photo on September 29, 2025 at 12:03 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGgxmyW-YXxYg/feedshare-shrink_160/B56ZmVWyo_IAAc-/0/1759147405807?e=1781740800&v=beta&t=IJw7SFi58OsbVOZytKyrlfCp01c2yd-NCU5Li8j7PjU
"You uploaded a feed photo on September 22, 2025 at 12:13 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQH7pNd2JLoPTQ/feedshare-shrink_480/B56ZlxV93yI8Ac-/0/1758543209829?e=1781740800&v=beta&t=FgMpsD2cfRmd4nWN-wrJoAQIXhynD-PRQnvW53xp58o
"You uploaded a feed photo on September 13, 2025 at 6:47 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQE-_1jm7UaFgA/feedshare-shrink_160/B56ZlEZ0DmKEAk-/0/1757789248141?e=1781740800&v=beta&t=NCcd36IVu9GOZ7SUC8duz3FOs_3vqyd6ofe7ql-vniw
"You uploaded a feed photo on September 13, 2025 at 6:47 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D5622AQGYcg5n51xahQ/feedshare-shrink_1280/B56ZlEZ0DCH8As-/0/1757789248152?e=1781740800&v=beta&t=RN3QvZrSvKbL60Rm2gjoxsV0DeffITCBCXr1hoCnKl4
"You uploaded a feed photo on September 4, 2025 at 7:38 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQF2sIxpfR7EGg/feedshare-image-high-res/B4EZkWPQX8IIAo-/0/1757014723626?e=1781740800&v=beta&t=RtwH_E0kVtV_YEu5EF1quYJhM2wIiLMoPUAM7dsQBTA
