Challenge Date,IP Address,User Agent,Country,Challenge Type
Wed Mar 27 21:22:28 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0,United States,LINKEDIN_APP_CHALLENGE
Wed Mar 27 21:22:28 UTC 2024,2600:8804:480:218:f170:493f:48b8:95d4,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.3933",United States,LINKEDIN_APP_CHALLENGE
Wed Mar 27 21:22:30 UTC 2024,2600:8804:480:218:f170:493f:48b8:95d4,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.3933",United States,LINKEDIN_APP_CHALLENGE
Wed Mar 27 21:22:32 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0,United States,LINKEDIN_APP_CHALLENGE
Wed Jun 05 19:55:08 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0,United States,LINKEDIN_APP_CHALLENGE
Wed Jun 05 19:55:17 UTC 2024,2600:8804:480:218:45ca:7e31:6082:86be,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.7366",United States,LINKEDIN_APP_CHALLENGE
Wed Jun 05 19:55:18 UTC 2024,2600:8804:480:218:45ca:7e31:6082:86be,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.7366",United States,LINKEDIN_APP_CHALLENGE
Wed Jun 05 19:55:20 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0,United States,LINKEDIN_APP_CHALLENGE
Wed Sep 04 23:14:29 UTC 2024,24.252.59.104,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0,United States,LINKEDIN_APP_CHALLENGE
Wed Sep 04 23:14:35 UTC 2024,2600:8804:480:218:9c4b:7024:2266:6a3c,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.1317",United States,LINKEDIN_APP_CHALLENGE
Wed Sep 04 23:14:37 UTC 2024,2600:8804:480:218:9c4b:7024:2266:6a3c,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.1317",United States,LINKEDIN_APP_CHALLENGE
